month,base rate
Jan-18,1.5
Feb-18,1.5
Mar-18,1.5
Apr-18,1.5
May-18,1.5
Jun-18,1.5
Jul-18,1.5
Aug-18,1.5
Sep-18,1.5
Oct-18,1.5
Nov-18,1.75
Dec-18,1.75
Jan-19,1.75
Feb-19,1.75
Mar-19,1.75
Apr-19,1.75
May-19,1.75
Jun-19,1.75
Jul-19,1.5
Aug-19,1.5
Sep-19,1.5
Oct-19,1.25
Nov-19,1.25
Dec-19,1.25
Jan-20,1.25
Feb-20,1.25
Mar-20,0.75
Apr-20,0.75
May-20,0.5
Jun-20,0.5
Jul-20,0.5
Aug-20,0.5
Sep-20,0.5
Oct-20,0.5
Nov-20,0.5
Dec-20,0.5
Jan-21,0.5
Feb-21,0.5
Mar-21,0.5
Apr-21,0.5
May-21,0.5
Jun-21,0.5
Jul-21,0.5
Aug-21,0.75
Sep-21,0.75
Oct-21,0.75
Nov-21,1
Dec-21,1
Jan-22,1.25
Feb-22,1.25
Mar-22,1.25
Apr-22,1.5
May-22,1.75
Jun-22,1.75
Jul-22,2.25
Aug-22,2.5
Sep-22,2.5
Oct-22,3
